ra,rc,T,px,py
225.0,350,0.968876085,472.5,818.3940065762945
225.0,360,0.970399666,472.5,818.3940065762945
225.0,370,0.971715475,472.5,818.3940065762945
225.0,380,0.972801151,472.5,818.3940065762945
225.0,390,0.973701427,472.5,818.3940065762945
225.0,400,0.97440479,472.5,818.3940065762945
225.0,410,0.975077365,472.5,818.3940065762945
225.0,420,0.975705054,472.5,818.3940065762945
225.0,430,0.976384841,472.5,818.3940065762945
225.0,440,0.977143951,472.5,818.3940065762945
225.0,450,0.978076734,472.5,818.3940065762945
225.0,460,0.979185407,472.5,818.3940065762945
225.0,470,0.980456665,472.5,818.3940065762945
225.0,480,0.981927236,472.5,818.3940065762945
225.0,490,0.983562791,472.5,818.3940065762945
225.0,500,0.985308573,472.5,818.3940065762945
225.0,510,0.987152565,472.5,818.3940065762945
225.0,520,0.988989337,472.5,818.3940065762945
225.0,530,0.990787563,472.5,818.3940065762945
225.0,540,0.992443799,472.5,818.3940065762945
225.0,550,0.993871189,472.5,818.3940065762945
225.0,560,0.994979507,472.5,818.3940065762945
225.0,570,0.995718402,472.5,818.3940065762945
225.0,580,0.996011073,472.5,818.3940065762945
225.0,590,0.995824596,472.5,818.3940065762945
225.0,600,0.995127344,472.5,818.3940065762945
225.0,610,0.993914578,472.5,818.3940065762945
225.0,620,0.992247951,472.5,818.3940065762945
225.0,630,0.990158274,472.5,818.3940065762945
225.0,640,0.987784819,472.5,818.3940065762945
225.0,650,0.985153481,472.5,818.3940065762945
225.0,660,0.982474436,472.5,818.3940065762945
225.0,670,0.979834434,472.5,818.3940065762945
225.0,680,0.977348538,472.5,818.3940065762945
225.0,690,0.975237209,472.5,818.3940065762945
225.0,700,0.973506816,472.5,818.3940065762945
225.0,710,0.972275843,472.5,818.3940065762945
225.0,720,0.971656975,472.5,818.3940065762945
225.0,730,0.971651937,472.5,818.3940065762945
225.0,740,0.972251705,472.5,818.3940065762945
225.0,750,0.973413538,472.5,818.3940065762945
225.0,760,0.975183002,472.5,818.3940065762945
225.0,770,0.977307971,472.5,818.3940065762945
225.0,780,0.979817724,472.5,818.3940065762945
225.0,790,0.9825932,472.5,818.3940065762945
225.0,800,0.985476148,472.5,818.3940065762945
235.0,350,0.971875548,493.5,854.7670735352409
235.0,360,0.972985804,493.5,854.7670735352409
235.0,370,0.973952131,493.5,854.7670735352409
235.0,380,0.974811485,493.5,854.7670735352409
235.0,390,0.975553402,493.5,854.7670735352409
235.0,400,0.976251551,493.5,854.7670735352409
235.0,410,0.976889197,493.5,854.7670735352409
235.0,420,0.977548733,493.5,854.7670735352409
235.0,430,0.978244896,493.5,854.7670735352409
235.0,440,0.979033008,493.5,854.7670735352409
235.0,450,0.979911255,493.5,854.7670735352409
235.0,460,0.980915203,493.5,854.7670735352409
235.0,470,0.982047476,493.5,854.7670735352409
