ra,rc,T,px,py
225.0,600,0.995123446,472.5,818.3940065762945
225.0,610,0.993904811,472.5,818.3940065762945
225.0,620,0.992245302,472.5,818.3940065762945
225.0,630,0.990160548,472.5,818.3940065762945
225.0,640,0.98776845,472.5,818.3940065762945
225.0,650,0.985155303,472.5,818.3940065762945
225.0,660,0.982492021,472.5,818.3940065762945
225.0,670,0.979819234,472.5,818.3940065762945
225.0,680,0.977340803,472.5,818.3940065762945
225.0,690,0.975215288,472.5,818.3940065762945
225.0,700,0.973495052,472.5,818.3940065762945
225.0,710,0.972281118,472.5,818.3940065762945
225.0,720,0.971683779,472.5,818.3940065762945
225.0,730,0.971626273,472.5,818.3940065762945
225.0,740,0.972233746,472.5,818.3940065762945
225.0,750,0.973408778,472.5,818.3940065762945
225.0,760,0.975171158,472.5,818.3940065762945
225.0,770,0.977309357,472.5,818.3940065762945
225.0,780,0.979854813,472.5,818.3940065762945
225.0,790,0.982608929,472.5,818.3940065762945
225.0,800,0.98546989,472.5,818.3940065762945
235.0,600,0.990598714,493.5,854.7670735352409
235.0,610,0.988900372,493.5,854.7670735352409
235.0,620,0.986800046,493.5,854.7670735352409
235.0,630,0.984391454,493.5,854.7670735352409
235.0,640,0.981778884,493.5,854.7670735352409
235.0,650,0.979090019,493.5,854.7670735352409
235.0,660,0.976471143,493.5,854.7670735352409
235.0,670,0.974051536,493.5,854.7670735352409
235.0,680,0.971967235,493.5,854.7670735352409
235.0,690,0.970353574,493.5,854.7670735352409
235.0,700,0.969307512,493.5,854.7670735352409
235.0,710,0.9688888,493.5,854.7670735352409
235.0,720,0.969108874,493.5,854.7670735352409
235.0,730,0.970008118,493.5,854.7670735352409
235.0,740,0.971509632,493.5,854.7670735352409
235.0,750,0.973613549,493.5,854.7670735352409
235.0,760,0.976178305,493.5,854.7670735352409
235.0,770,0.979080761,493.5,854.7670735352409
235.0,780,0.982205202,493.5,854.7670735352409
235.0,790,0.985373288,493.5,854.7670735352409
235.0,800,0.988532964,493.5,854.7670735352409
245.0,600,0.985253673,514.5,891.1401404941873
245.0,610,0.983066365,514.5,891.1401404941873
245.0,620,0.980622196,514.5,891.1401404941873
245.0,630,0.978084826,514.5,891.1401404941873
245.0,640,0.975582866,514.5,891.1401404941873
245.0,650,0.973288246,514.5,891.1401404941873
245.0,660,0.971320871,514.5,891.1401404941873
245.0,670,0.969838736,514.5,891.1401404941873
245.0,680,0.968872647,514.5,891.1401404941873
245.0,690,0.968630068,514.5,891.1401404941873
245.0,700,0.969053563,514.5,891.1401404941873
245.0,710,0.970123227,514.5,891.1401404941873
245.0,720,0.971859407,514.5,891.1401404941873
245.0,730,0.974136741,514.5,891.1401404941873
245.0,740,0.976924598,514.5,891.1401404941873
